MFP ID,Name,Brand,Verified,Serving,Calories,Fat,Carbohydrates,Protein,Fiber,Sugar,Sodium,Calcium
62824390643181,Chicken Breast,Nature's Place,True,oz,110.0,1.0,0.0,26.0,0.0,0.0,85.0,0.0
27642166013293,Frozen,Chicken Breast,True,oz,110.0,2.5,0.0,23.0,0.0,0.0,220.0,0.0
63528488603133,Spicy Chicken Breast,Popeyes,False,(157g),380.0,20.0,16.0,35.0,2.0,0.0,1230.0,0.0
28189946318701,Chicken Breast,Harris Teeter,True,oz,160.0,6.0,0.0,25.0,0.0,0.0,70.0,2.0
62826668126189,Grilled Chicken Breast,Kroger,True,oz ( 112 g),110.0,2.5,0.0,23.0,0.0,0.0,230.0,0.0
27631575412205,Grilled Chicken Breast,Nutrisystem,True,c,90.0,1.0,1.0,18.0,0.0,0.0,230.0,2.0
133467991813933,Chicken Breast,Albertsons,True,oz,110.0,3.0,0.0,23.0,0.0,0.0,180.0,0.0
63365594238765,Chicken Breast,Ralphs,True,oz.,120.0,1.5,0.0,26.0,0.0,0.0,75.0,0.0
98552059318189,Chicken Breast Nuggets,Kirkwood,True,nuggets,230.0,15.0,14.0,12.0,1.0,0.0,600.0,2.0
98549932789037,Chicken Breast Nuggets,Banquet,True,nuggets,200.0,10.0,17.0,10.0,2.0,1.0,370.0,2.0
63668233195005,Rotisserie Chicken Breast,Safeway,False,g (3 oz) cooked,52.0,1.6,0.0,8.0,0.0,0.0,27.0,0.0
28183457738029,Chicken Breast,Food Lion,True,oz,110.0,2.5,0.0,23.0,0.0,0.0,180.0,0.0
133470294478637,Chicken Breast Strips,Harvestland,True,oz,90.0,2.0,1.0,17.0,0.0,0.0,340.0,0.0
27908433113005,Chicken Breast,Weight Watchers,True,breast (140 g),140.0,2.0,0.0,31.0,0.0,0.0,250.0,0.0
172923590446893,Boneless Chicken Breast,Kfc,False,g,200.0,8.0,6.0,24.0,1.0,0.0,610.0,0.0
133186671374253,Chicken Breast Tenders,Banquet,True,Tenders,210.0,11.0,17.0,10.0,2.0,1.0,390.0,4.0
133332565225389,Sliced Chicken Breast ,Tyson,False,slice,30.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0
125075793538877,Braised Chicken Breast,ESS,True,g,147.0,2.2,0.5,31.3,0.0,0.2,169.6,0.76
134036809837757,Organic Chicken Breast,Smart Chicken,False,g,120.0,1.0,0.0,26.0,0.0,0.0,50.0,0.0
265701201661869,Grilled Chicken Breast,Applebee's,False,oz,190.0,4.0,0.0,38.0,1.0,0.0,1080.0,0.0
138426421374141,Curried Chicken Breast,Homemade,False,breast,160.0,17.0,12.0,30.0,2.0,5.0,1248.0,2.0
89367161859901,Grilled Chicken Breast,Cowboy Chicken,False,oz,286.0,6.0,1.0,52.0,0.0,1.0,268.0,0.0
59130492415597,Breaded Chicken Breast,Shoprite,False,oz,250.0,12.0,8.0,19.0,0.0,1.0,220.0,4.0
265694900817533,100g,Chicken Breast,False,g,149.0,4.0,0.0,26.0,0.0,0.0,85.0,0.0
243575827639469,Chicken Breast Tenderloins,Purdue,False,oz (112g),110.0,1.0,0.0,25.0,0.0,0.0,75.0,0.0
63245141347629,Skinless Breast,Clara's Chicken Breast,False,oz,46.0,1.0,0.0,9.0,0.0,0.0,21.0,0.0
