id,Name,Brand,Verified,Serving,Calories,Fat,Carbohydrates,Protein,Fiber,Sugar,Sodium,Calcium,Cholesterol,Iron,Monounsaturated Fat,Polyunsaturated Fat,Potassium,Saturated Fat,Trans Fat,Vitamin A,Vitamin C,Confirmations,Servings
63649053798253,Apple Pie Baked in an Apple,Apple pie baked in an apple,True,apple,250.0,13.0,32.0,2.0,4.0,13.0,170.0,2.0,0.0,6.0,0.0,0.0,0.0,7.0,0.0,4.0,25.0,1,[<1.00 x apple>]

63651289312685,Apple Cinnamon Straws,Apple Straws,True,straws,130.0,7.0,15.0,1.0,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,"[<38.00 x straws>, <1.00 x straws>, <1.00 x container (228 straws)>]"

133762393116349,Half apple,Apple,False,meal,323.0,2.0,12.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,[<1.00 x meal>]

63365564919149,Apple Pack,Subway Apple Pack,True,Pack,35.0,0.0,9.0,0.0,2.0,7.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,1,[<1.00 x Pack>]

133467915355493,Apple,,True,gram(s),94.64,0.3094,25.1342,0.4732,4.368,18.9098,1.82,1.092,0.0,1.21333,0.0127,0.0928,194.74,0.051,0.0,1.9656,13.9533,0,"[<1.00 x gram(s)>, <1.00 x medium (3"" dia)>, <1.00 x cup, quartered or chopped>, <1.00 x cup slices>, <1.00 x large (3-1/4"" dia)>, <1.00 x small (2-3/4"" dia)>, <1.00 x extra small (2-1/2"" dia)>, <1.00 x NLEA serving>, <1.00 x oz>]"

204119964781805,Apple,Fugi Apple - Small,False,g,100.0,0.3,24.0,0.3,3.3,18.0,1.6,1.1,0.0,0.9,0.0,0.0,172.0,0.0,0.0,1.2,0.0,3,"[<158.00 x g>, <1.00 x g>, <1.00 x ounce>, <5.60 x ounce>]"

68057555725357,Apple- Med Apple,Generic,False,medium,95.0,0.3,25.0,0.5,4.4,14.0,2.0,1.0,0.0,1.0,0.0,0.1,195.0,0.1,0.0,1.0,14.0,8,[<1.00 x medium>]

62841439604093,Apple,Pink Lady - Apple,False,g,83.0,0.4,19.5,0.3,3.6,18.8,0.0,0.5,0.0,0.5,0,0,0,0.01,0.0,0.5,2.0,1,"[<150.00 x g>, <1.00 x g>, <1.00 x ounce>, <5.30 x ounce>, <1.00 x lb(s)>]"

199578053520701,apple,Eastern apple,False,g,80.0,0.0,22.0,0.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,0.0,0,"[<154.00 x g>, <1.00 x g>, <1.00 x ounce>, <1.00 x lb(s)>, <5.40 x ounce>]"

62843612278205,Apple Juice,Apple & Eve,False,fl oz,140.0,0.0,31.0,0.0,0.0,30.0,15.0,0.0,0.0,0.0,0.0,0.0,250.0,0,0.0,0.0,70.0,4,"[<10.00 x fl oz>, <1.00 x fl oz>, <1.00 x cup>, <1.25 x cup>]"

54863541980653,Apple Small Green Apple,Apple Generic Home,False,Apple,84.0,0.0,22.0,0.0,6.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,108.1,0.0,0.0,0.0,2.0,1,"[<0.50 x Apple>, <1.00 x Apple>]"

133734342602733,Apple,granny,True,g,80.0,0.0,22.0,0.0,5.0,17.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,25,"[<154.00 x g>, <1.00 x g>, <1.00 x container (1232 g)>, <1.00 x ounce>, <5.40 x ounce>, <1.00 x lb(s)>, <1.00 x kg(s)>]"

23783020578341,Apple Juice,Apple & Eve,True,fl oz,60.0,0.0,14.0,0.0,0.0,13.0,5.0,0.0,0,0.0,0,0,94.0,0.0,0.0,0,0,0,"[<4.23 x fl oz>, <1.00 x fl oz>, <125.10 x ml>, <1.00 x ml>]"

31908926588709,Cortland Apple,Apple Country,True,medium apple,80.0,0.0,22.0,0.0,5.0,16.0,0.0,0.0,0.0,2.0,0,0,170.0,0.0,0.0,0,0,0,"[<1.00 x medium apple>, <154.00 x g>, <1.00 x g>]"

67376816924005,McIntosh Apple,Apple Country,True,large apple,130.0,0.0,34.0,1.0,5.0,25.0,0.0,2.0,0.0,2.0,0,0,260.0,0.0,0.0,0,0,0,"[<1.00 x large apple>, <242.00 x g>, <1.00 x g>]"

168791877029757,Sweetheart Apple,Tastee Apple,True,slice,124.0,8.0,21.0,2.0,2.0,19.0,11.0,1.5,0.0,0.0,0,0,111.0,2.7,0.0,0,0,0,"[<1.00 x slice>, <56.00 x g>, <1.00 x g>]"

67643247494965,Apple Apple,GoGo Squeez,True,pouch,70.0,0.0,16.0,0.0,3.0,13.0,0.0,0.6,0.0,0.0,0,0,102.0,0.0,0.0,0,0,0,"[<1.00 x pouch>, <90.00 x g>, <1.00 x g>]"

98833547472685,Apple,Green,True,fruit,95.0,0.3,25.0,0.5,4.4,19.0,2.0,1.0,0.0,1.0,0.0,0.1,195.0,0.1,0.0,1.0,14.0,234,[<1.00 x fruit>]

32873192883829,Apple Pie,Apple Valley,True,g,270.0,15.0,32.0,2.0,1.0,13.0,180.0,0.0,0.0,8.0,0,0,0,7.0,0.1,0,0,0,"[<92.00 x g>, <1.00 x g>, <92.00 x g>, <1.00 x g>]"

102415126529205,Fuji Apple,Apple Country,True,medium apple,80.0,0.0,22.0,0.0,5.0,16.0,0.0,0.0,0.0,2.0,0,0,0,0.0,0.0,0,0,0,"[<1.00 x medium apple>, <154.00 x g>, <1.00 x g>]"

137874494066413,Apple Organic,Braeburn Apple,False,g,48.0,0.49,10.0,0.49,1.0,10.0,0,0,0.0,0,0.0,0.0,0,0.09,0.0,0,0,0,"[<100.00 x g>, <1.00 x g>]"

98549936991597,Apple,Safeway,True,apple,95.0,0.3,25.0,0.0,4.4,19.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,14.0,10,[<1.00 x apple>]

94308806896893,carmel apple,carmel apple,False,apple,250.0,8.0,45.0,2.0,2.0,38.0,60.0,5.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,6.0,0,[<1.00 x apple>]

67643108142509,Apple Sweetango Corrected,Apple,False,Medium Apple,80.0,0.2,22.0,0,5.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,170.0,0.0,0.0,2.0,8.0,2,[<1.00 x Medium Apple>]

63092813573997,Apple,Store,True,whole,95.0,0.3,25.0,0.5,4.4,19.0,2.0,1.0,0.0,1.0,0.0,0.1,195.0,0.1,0.0,1.0,14.0,9,[<1.00 x whole>]

137747821823845,Apple Juice,Simply Apple,True,fl oz,110.0,0.0,27.0,0.0,0,25.0,5.0,0,0.0,0,0,0,240.0,0.0,0.0,0,0,0,"[<8.00 x fl oz>, <1.00 x fl oz>, <236.59 x ml>, <1.00 x ml>, <1.00 x cup(s)>]"

98277349232045,Apple Fries,BK Apple fries,True,bag,25.0,0.0,6.0,0.0,1.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0,[<1.00 x bag>]

63109883366893,"Strudel, apple",,True,oz,274.0,11.2,41.1,3.3,2.2,25.75,135.0,1.5,6.0,2.33333,3.267,5.315,149.0,2.044,0.0,0.6,2.83333,7,"[<1.00 x oz>, <1.00 x piece>, <100.00 x g>, <1.00 x gram>, <28.00 x gram>, <1.00 x lb(s)>, <1.00 x mg(s)>, <1.00 x kg(s)>]"

27917052399533,Apple,Giant,True,g,80.0,0.0,22.0,0.0,5.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,170.0,0.0,0.0,2.0,8.0,37,"[<154.00 x g>, <1.00 x g>, <1.00 x ounce>, <5.40 x ounce>]"

273921776324013,Apple,Outtakes,True,each,67.93,0.2221,18.0406,0.3396,3.1352,13.5729,1.3063,0.78381,0.0,0.871111,0.0091,0.0666,139.779,0.0392,0,1.41085,10.0153,20,[<1.00 x each>]

63649062178669,Apple,Panera,True,apple,80.0,0.0,21.0,0.0,4.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,46,[<1.00 x apple>]

63367720791469,Apple,Generic,True,medium (3'' dia),95.0,0.3,25.0,0.5,4.4,19.0,2.0,1.0,0.0,1.0,0.0,0.1,195.0,0.1,0.0,1.0,14.0,46,[<1.00 x medium (3'' dia)>]

62815783898989,Apple,Jonagold,True,apple,80.0,0.0,22.0,0.0,5.0,17.0,0.0,2.0,0.0,2.0,0.0,0.0,170.0,0.0,0.0,2.0,20.0,20,[<1.00 x apple>]

98549962116909,Apple,Raw,True,cup,65.0,0.2,17.0,0.3,3.0,13.0,1.0,1.0,0.0,1.0,0.0,0.1,134.0,0.0,0.0,1.0,10.0,9,"[<1.00 x cup>, <1.00 x milliliter>, <1.00 x fluid ounce>, <237.00 x milliliter>, <1.00 x tbsp(s)>]"

204265997963053,Apple 3 Slices,Apple,False,Slices,26.0,0.09,7.04,0.13,1.2,5.3,1.0,8.0,0.0,1.0,0.004,0.026,55.0,0.014,0,1.0,1.0,2,"[<3.00 x Slices>, <1.00 x Slices>]"

67780682237109,Caramel Apple,Daffy Apple,True,apple,180.0,2.5,41.0,1.0,2.0,31.0,95.0,4.0,0.0,2.0,0,0,0,1.5,0.0,0,0,0,"[<1.00 x apple>, <85.00 x g>, <1.00 x g>]"

102425981429493,Apple Soda,Apple Sidra,True,can,140.0,0.0,35.0,0.0,0.0,32.0,20.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,"[<1.00 x can>, <330.00 x ml>, <1.00 x ml>]"

133186709106605,Apple,Kroger,True,I,80.0,0.0,22.0,0.0,5.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,11,"[<1.00 x I>, <1.00 x container (80 I)>]"

27633597058989,Apple,Honeybear,True,apple,80.0,0.0,22.0,0.0,5.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,170.0,0.0,0.0,2.0,8.0,7,"[<1.00 x apple>, <1.00 x container (10 apple)>]"

133470277685165,Apple,Cortland,True,g,80.0,0.0,22.0,0.0,5.0,16.0,0.0,2.0,0.0,2.0,0.0,0.0,170.0,0.0,0.0,2.0,8.0,4,"[<154.00 x g>, <1.00 x g>, <1.00 x ounce>, <5.40 x ounce>, <1.00 x lb(s)>, <1.00 x kg(s)>]"

63109912661037,Apple=100 Cal.,Apple,False,Apple,100.0,0.0,19.0,0.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,[<1.00 x Apple>]

102425847187125,Apple Pie,Apple & Eve,True,slice,360.0,16.0,53.0,3.0,0.5,24.0,350.0,0,5.0,0,0,0,0,8.0,0.0,0,0,0,"[<1.00 x slice>, <125.00 x g>, <1.00 x g>]"

98002345405805,Apple,Regular,True,apple,95.0,0.3,25.0,0.5,4.4,19.0,2.0,1.0,0.0,1.0,0.0,0.1,195.0,0.1,0.0,1.0,14.0,18,"[<1.00 x apple>, <1.00 x container (93 apple)>]"

63107706523501,"Croissants, apple",,True,oz,254.0,8.7,37.1,7.4,2.5,0.0,274.0,3.0,31.0,6.11111,2.393,0.628,90.0,4.994,0.0,7.6,0.833333,1,"[<1.00 x oz>, <1.00 x croissant, medium>, <100.00 x g>]"

62817943973229,Apple,Wegmans,True,apple,80.0,0.0,21.0,0.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,2.0,4.0,4,"[<1.00 x apple>, <1.00 x container (20 apple)>]"

28466913071021,Apple,Dole,True,Medium,80.0,0.0,22.0,0.0,5.0,16.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2,[<1.00 x Medium>]

32323432883381,Apple Pancake,Apple Villa,True,pancake,248.0,11.0,37.0,5.0,4.0,23.0,155.0,0,97.0,0,0,0,0,6.0,0,0,0,0,"[<0.25 x pancake>, <1.00 x pancake>, <113.00 x g>, <1.00 x g>]"

133186713349933,Apple,Walmart,True,g,95.0,0.3,25.0,0.5,4.4,19.0,2.0,1.0,0.0,1.0,0.0,0.1,195.0,0.1,0.0,1.0,14.0,10,"[<182.00 x g>, <1.00 x g>, <1.00 x ounce>, <6.40 x ounce>]"

68055543424629,"Beverage, Apple",Apple Beer,True,bottle,160.0,0.0,40.0,0.0,0,39.0,35.0,0,0,0,0,0,0,0,0,0,0,0,[<1.00 x bottle>]

133461557768109,Apple,Figi,True,cup,80.0,0.0,22.0,0.0,5.0,17.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,0,"[<1.00 x cup>, <1.00 x milliliter>, <1.00 x fluid ounce>, <237.00 x milliliter>, <8.00 x fluid ounce>]"

98285779808045,Michigan,Apple,True,g,130.0,0.0,34.0,1.0,5.0,25.0,0.0,2.0,0.0,2.0,0.0,0.0,260.0,0.0,0.0,2.0,8.0,0,"[<242.00 x g>, <1.00 x g>, <1.00 x container (1,936 g)>, <1.00 x ounce>, <8.50 x ounce>, <1.00 x lb(s)>]"

124820082470333,apple danish,apple danish,False,slice,200.0,10.0,26.0,2.0,1.0,13.0,160.0,6.0,5.0,4.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0,"[<1.00 x slice>, <1.00 x container (8.00 slice)>]"

98002358030253,Apple,Rainier,True,apple,95.0,0.0,25.0,0.0,4.0,19.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,4,"[<1.00 x apple>, <1.00 x container (95 apple)>]"

159583293099453,Apple Slice,Apple,False,slices,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"[<3.00 x slices>, <1.00 x slices>, <1.00 x container (24 slices ea.)>]"

22822964202861,apple snack,Apple Straws,False,gram,130.0,7.0,15.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0,"[<28.00 x gram>, <1.00 x gram>, <1.00 x container (168.00 gram)>, <1.00 x ounce>]"

98552109641133,Apple,Publix,True,med apple,95.0,0.3,25.0,0.5,4.4,19.0,2.0,1.0,0.0,1.0,0.0,0.1,195.0,0.1,0.0,1.0,14.0,5,[<1.00 x med apple>]

98002311867693,Pink Lady Apple,Pink Lady Apple,True,Medium,72.0,0.23,19.06,0.36,3.3,14.34,1.0,1.0,0.0,1.0,0.01,0.07,148.0,0.039,0.0,1.0,8.0,189,"[<1.00 x Medium>, <1.00 x medium apple>]"

63365543939885,Green (Medium Apple),Granny Smith Apple,True,Apple,80.0,0.0,22.0,0.0,5.0,17.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,20.0,35,"[<1.00 x Apple>, <1.00 x Granny Smith Apple>]"

98002454507501,12 Apple Slices Sams,Apple slices,True,slices,70.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,"[<12.00 x slices>, <1.00 x slices>]"

67368210220901,Apple,Georgia Apple Co,True,small,65.0,0.2,17.0,0.5,3.0,9.0,0.0,1.0,0.0,1.0,0.0,0.0,135.0,0.0,0.0,0,0,0,[<1.00 x small>]

103104644916581,McIntosh Apple,Apple Country,True,medium apple,80.0,0.0,22.0,0.0,5.0,16.0,0.0,0.0,0.0,2.0,0,0,170.0,0.0,0.0,0,0,0,"[<1.00 x medium apple>, <154.00 x g>, <1.00 x g>]"

102554704545061,Apple,United Apple Sales,True,medium apple,80.0,0.0,22.0,0.0,5.0,16.0,0.0,0.0,0.0,2.0,0,0,170.0,0.0,0.0,0,0,0,"[<1.00 x medium apple>, <154.00 x g>, <1.00 x g>]"

67241642935541,Caramel Apple,Daffy Apple,True,apple,180.0,2.5,41.0,1.0,2.0,31.0,95.0,4.0,0.0,2.0,0,0,0,1.5,0.0,0,0,0,"[<1.00 x apple>, <85.00 x g>, <1.00 x g>]"

128788415276709,Apple Juice,Apple & Eve,True,fl oz,90.0,0.0,21.0,0.0,0,20.0,5.0,0.0,0,0.0,0,0,200.0,0,0,0,0,0,"[<6.75 x fl oz>, <1.00 x fl oz>, <199.62 x ml>, <1.00 x ml>]"

102829741860261,Apple Butter,Apple Time,True,tbsp,30.0,0.0,8.0,0.0,0,6.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0,0,0,"[<1.00 x tbsp>, <17.00 x g>, <1.00 x g>]"

27908475039725,Braeburn Apple - 1 Medium,Braeburn Apple,True,apple,80.0,0.0,22.0,0.0,5.0,17.0,0.0,2.0,0.0,2.0,0.0,0.0,170.0,0.0,0.0,2.0,20.0,13,[<1.00 x apple>]

67095622379429,Apple Cider,Apple Barn,True,fl oz,120.0,0.0,30.0,0.0,0,30.0,60.0,0.0,0,2.0,0,0,0,0,0,0,0,0,"[<8.00 x fl oz>, <1.00 x fl oz>, <236.59 x ml>, <1.00 x ml>]"

93758740598269,Baked Apple,Apple Dumpling,False,apple,325.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,[<1.00 x apple>]

